case_id,target_k,source_jsonl,output_png,status,error
ns_cow_202,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_202/ns_cow_202_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_202/mean_contour_plots/ns_cow_202_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
ns_cow_205,26,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_205/ns_cow_205_size16_top1cluster_mean_contour_k26.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_205/mean_contour_plots/ns_cow_205_size16_top1cluster_mean_contour_k26_fullshape.png,ok,
ns_cow_350,15,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_350/ns_cow_350_size16_top1cluster_mean_contour_k15.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_350/mean_contour_plots/ns_cow_350_size16_top1cluster_mean_contour_k15_fullshape.png,ok,
ns_cow_510,7,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_510/ns_cow_510_size16_top1cluster_mean_contour_k7.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_510/mean_contour_plots/ns_cow_510_size16_top1cluster_mean_contour_k7_fullshape.png,ok,
ns_cow_780,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_780/ns_cow_780_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_cow_780/mean_contour_plots/ns_cow_780_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
ns_dog_105,2,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_105/ns_dog_105_size16_top1cluster_mean_contour_k2.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_105/mean_contour_plots/ns_dog_105_size16_top1cluster_mean_contour_k2_fullshape.png,ok,
ns_dog_214,3,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_214/ns_dog_214_size16_top1cluster_mean_contour_k3.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_214/mean_contour_plots/ns_dog_214_size16_top1cluster_mean_contour_k3_fullshape.png,ok,
ns_dog_350,9,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_350/ns_dog_350_size16_top1cluster_mean_contour_k9.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_350/mean_contour_plots/ns_dog_350_size16_top1cluster_mean_contour_k9_fullshape.png,ok,
ns_dog_69,3,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_69/ns_dog_69_size16_top1cluster_mean_contour_k3.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_dog_69/mean_contour_plots/ns_dog_69_size16_top1cluster_mean_contour_k3_fullshape.png,ok,
ns_elephant_100,67,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_100/ns_elephant_100_size16_top1cluster_mean_contour_k67.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_100/mean_contour_plots/ns_elephant_100_size16_top1cluster_mean_contour_k67_fullshape.png,ok,
ns_elephant_109,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_109/ns_elephant_109_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_109/mean_contour_plots/ns_elephant_109_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
ns_elephant_350,12,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_350/ns_elephant_350_size16_top1cluster_mean_contour_k12.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_350/mean_contour_plots/ns_elephant_350_size16_top1cluster_mean_contour_k12_fullshape.png,ok,
ns_elephant_47,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_47/ns_elephant_47_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_47/mean_contour_plots/ns_elephant_47_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
ns_elephant_780,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_780/ns_elephant_780_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_elephant_780/mean_contour_plots/ns_elephant_780_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
ns_lion_350,5,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_350/ns_lion_350_size16_top1cluster_mean_contour_k5.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_350/mean_contour_plots/ns_lion_350_size16_top1cluster_mean_contour_k5_fullshape.png,ok,
ns_lion_560,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_560/ns_lion_560_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_560/mean_contour_plots/ns_lion_560_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
ns_lion_650,67,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_650/ns_lion_650_size16_top1cluster_mean_contour_k67.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_650/mean_contour_plots/ns_lion_650_size16_top1cluster_mean_contour_k67_fullshape.png,ok,
ns_lion_780,15,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_780/ns_lion_780_size16_top1cluster_mean_contour_k15.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_780/mean_contour_plots/ns_lion_780_size16_top1cluster_mean_contour_k15_fullshape.png,ok,
ns_lion_801,40,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_801/ns_lion_801_size16_top1cluster_mean_contour_k40.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/ns_lion_801/mean_contour_plots/ns_lion_801_size16_top1cluster_mean_contour_k40_fullshape.png,ok,
s_bird_111,66,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_111/s_bird_111_size16_top1cluster_mean_contour_k66.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_111/mean_contour_plots/s_bird_111_size16_top1cluster_mean_contour_k66_fullshape.png,ok,
s_bird_117,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_117/s_bird_117_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_117/mean_contour_plots/s_bird_117_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
s_bird_132,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_132/s_bird_132_size16_top1cluster_mean_contour_k1.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_132/mean_contour_plots/s_bird_132_size16_top1cluster_mean_contour_k1_fullshape.png,ok,
s_bird_136,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_136/s_bird_136_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_136/mean_contour_plots/s_bird_136_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
s_bird_137,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_137/s_bird_137_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_137/mean_contour_plots/s_bird_137_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
s_bird_212,37,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_212/s_bird_212_size16_top1cluster_mean_contour_k37.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_212/mean_contour_plots/s_bird_212_size16_top1cluster_mean_contour_k37_fullshape.png,ok,
s_bird_350,10,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_350/s_bird_350_size16_top1cluster_mean_contour_k10.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_bird_350/mean_contour_plots/s_bird_350_size16_top1cluster_mean_contour_k10_fullshape.png,ok,
s_butterfly_11,38,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_11/s_butterfly_11_size16_top1cluster_mean_contour_k38.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_11/mean_contour_plots/s_butterfly_11_size16_top1cluster_mean_contour_k38_fullshape.png,ok,
s_butterfly_144,38,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_144/s_butterfly_144_size16_top1cluster_mean_contour_k38.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_144/mean_contour_plots/s_butterfly_144_size16_top1cluster_mean_contour_k38_fullshape.png,ok,
s_butterfly_350,33,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_350/s_butterfly_350_size16_top1cluster_mean_contour_k33.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_350/mean_contour_plots/s_butterfly_350_size16_top1cluster_mean_contour_k33_fullshape.png,ok,
s_butterfly_560,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_560/s_butterfly_560_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_butterfly_560/mean_contour_plots/s_butterfly_560_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
s_fish_350,40,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_350/s_fish_350_size16_top1cluster_mean_contour_k40.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_350/mean_contour_plots/s_fish_350_size16_top1cluster_mean_contour_k40_fullshape.png,ok,
s_fish_4,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_4/s_fish_4_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_4/mean_contour_plots/s_fish_4_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
s_fish_500,5,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_500/s_fish_500_size16_top1cluster_mean_contour_k5.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_500/mean_contour_plots/s_fish_500_size16_top1cluster_mean_contour_k5_fullshape.png,ok,
s_fish_600,18,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_600/s_fish_600_size16_top1cluster_mean_contour_k18.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_600/mean_contour_plots/s_fish_600_size16_top1cluster_mean_contour_k18_fullshape.png,ok,
s_fish_700,2,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_700/s_fish_700_size16_top1cluster_mean_contour_k2.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_700/mean_contour_plots/s_fish_700_size16_top1cluster_mean_contour_k2_fullshape.png,ok,
s_fish_800,17,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_800/s_fish_800_size16_top1cluster_mean_contour_k17.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_800/mean_contour_plots/s_fish_800_size16_top1cluster_mean_contour_k17_fullshape.png,ok,
s_fish_900,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_900/s_fish_900_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_fish_900/mean_contour_plots/s_fish_900_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
s_oyster_350,0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_350/s_oyster_350_size16_top1cluster_mean_contour_k0.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_350/mean_contour_plots/s_oyster_350_size16_top1cluster_mean_contour_k0_fullshape.png,ok,
s_oyster_4,13,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_4/s_oyster_4_size16_top1cluster_mean_contour_k13.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_16/s_oyster_4/mean_contour_plots/s_oyster_4_size16_top1cluster_mean_contour_k13_fullshape.png,ok,
