case_id,target_k,source_jsonl,output_png,status,error
ns_cow_202,50,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_cow_202/ns_cow_202_size16_top1cluster_mean_contour_k50.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_cow_202/mean_contour_plots/ns_cow_202_size16_top1cluster_mean_contour_k50_fullshape.png,ok,
ns_cow_205,79,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_cow_205/ns_cow_205_size16_top1cluster_mean_contour_k79.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_cow_205/mean_contour_plots/ns_cow_205_size16_top1cluster_mean_contour_k79_fullshape.png,ok,
ns_cow_350,56,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_cow_350/ns_cow_350_size16_top1cluster_mean_contour_k56.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_cow_350/mean_contour_plots/ns_cow_350_size16_top1cluster_mean_contour_k56_fullshape.png,ok,
ns_cow_780,24,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_cow_780/ns_cow_780_size16_top1cluster_mean_contour_k24.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_cow_780/mean_contour_plots/ns_cow_780_size16_top1cluster_mean_contour_k24_fullshape.png,ok,
ns_dog_105,19,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_dog_105/ns_dog_105_size16_top1cluster_mean_contour_k19.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_dog_105/mean_contour_plots/ns_dog_105_size16_top1cluster_mean_contour_k19_fullshape.png,ok,
ns_dog_214,31,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_dog_214/ns_dog_214_size16_top1cluster_mean_contour_k31.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_dog_214/mean_contour_plots/ns_dog_214_size16_top1cluster_mean_contour_k31_fullshape.png,ok,
ns_dog_350,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_dog_350/ns_dog_350_size16_top1cluster_mean_contour_k1.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_dog_350/mean_contour_plots/ns_dog_350_size16_top1cluster_mean_contour_k1_fullshape.png,ok,
ns_dog_69,29,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_dog_69/ns_dog_69_size16_top1cluster_mean_contour_k29.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_dog_69/mean_contour_plots/ns_dog_69_size16_top1cluster_mean_contour_k29_fullshape.png,ok,
ns_elephant_100,28,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_elephant_100/ns_elephant_100_size16_top1cluster_mean_contour_k28.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_elephant_100/mean_contour_plots/ns_elephant_100_size16_top1cluster_mean_contour_k28_fullshape.png,ok,
ns_elephant_109,36,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_elephant_109/ns_elephant_109_size16_top1cluster_mean_contour_k36.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_geirhos_tl/size_16/ns_elephant_109/mean_contour_plots/ns_elephant_109_size16_top1cluster_mean_contour_k36_fullshape.png,ok,
